name,brand,image
ASOS DESIGN - Blouson Harrington avec col - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-blouson-harrington-avec-col-noir/206075643-1-black
ASOS DESIGN - Pull duveteux à manches amples - Bordeaux,ASOS DESIGN,images.asos-media.com/products/asos-design-pull-duveteux-a-manches-amples-bordeaux/207416948-1-burgundy
Stradivarius - Jean dad ample - Bleu foncé délavé vintage,Stradivarius,images.asos-media.com/products/stradivarius-jean-dad-ample-bleu-fonce-delave-vintage/205287528-1-lightblue
ASOS DESIGN - Top froncé en tulle à manches courtes - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-top-fronce-en-tulle-a-manches-courtes-noir/207169076-1-black
The North Face - Saikuru - Doudoune à logo - Noir,The North Face,images.asos-media.com/products/the-north-face-saikuru-doudoune-a-logo-noir/206576486-1-black
Bershka - Jean baggy ample - Bleu délavé foncé,Bershka,images.asos-media.com/products/bershka-jean-baggy-ample-bleu-delave-fonce/207163957-1-blue
ASOS 4505 - Combinaison de ski ajustée avec ceinture et capuche - Noir,ASOS 4505,images.asos-media.com/products/asos-4505-combinaison-de-ski-ajustee-avec-ceinture-et-capuche-noir/206101871-1-black
ASOS DESIGN - Bomber habillé épuré - Avoine,ASOS DESIGN,images.asos-media.com/products/asos-design-bomber-habille-epure-avoine/207321839-1-oatmeal
ASOS DESIGN - Trench-coat habillé aspect laine - Crème,ASOS DESIGN,images.asos-media.com/products/asos-design-trench-coat-habille-aspect-laine-creme/206052957-1-cream
ASOS DESIGN - Gilet en maille avec col - Rouge et écru,ASOS DESIGN,images.asos-media.com/products/asos-design-gilet-en-maille-avec-col-rouge-et-ecru/208167320-1-multi
Pull&Bear - Gilet court en maille - Écru,Pull&Bear,images.asos-media.com/products/pullbear-gilet-court-en-maille-ecru/208246181-1-ecru
ASOS DESIGN - Sweat-shirt oversize - Bleu marine,ASOS DESIGN,images.asos-media.com/products/asos-design-sweat-shirt-oversize-bleu-marine/208167736-1-navy
ASOS DESIGN - Jean large taille haute - Bleu moyen clair,ASOS DESIGN,images.asos-media.com/products/asos-design-jean-large-taille-haute-bleu-moyen-clair/207721430-1-lightmidblue
ASOS 4505 Hourglass - Icon - Legging de sport à taille haute effet sculptant à l'arrière - Noir,ASOS 4505,images.asos-media.com/products/asos-4505-hourglass-icon-legging-de-sport-a-taille-haute-effet-sculptant-a-larriere-noir/207650902-1-black
ASOS DESIGN - Pantalon décontracté droit en lin mélangé - Beige,ASOS DESIGN,images.asos-media.com/products/asos-design-pantalon-decontracte-droit-en-lin-melange-beige/207294864-1-natural
ASOS DESIGN - Top sans manches en dentelle transparente à basque - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-top-sans-manches-en-dentelle-transparente-a-basque-noir/208226178-1-black
Miss Selfridge - Chemise oversize en popeline avec col large et finitions en dentelle,Miss Selfridge,images.asos-media.com/products/miss-selfridge-chemise-oversize-en-popeline-avec-col-large-et-finitions-en-dentelle/208173071-1-white
Vero Moda - T-shirt - Blanc vif,Vero Moda,images.asos-media.com/products/vero-moda-t-shirt-blanc-vif/208311717-1-brightwhite
Stradivarius - Gilet côtelé ajusté - Jaune,Stradivarius,images.asos-media.com/products/stradivarius-gilet-cotele-ajuste-jaune/207898344-1-yellow
Stradivarius - Gilet côtelé ajusté - Écru,Stradivarius,images.asos-media.com/products/stradivarius-gilet-cotele-ajuste-ecru/207898146-1-ecru
Brave Soul Petite - Pull ras de cou - Noir,Brave Soul,images.asos-media.com/products/brave-soul-petite-pull-ras-de-cou-noir/206465165-1-black
Stradivarius - D98 - Jean droit - Gris délavé,Stradivarius,images.asos-media.com/products/stradivarius-d98-jean-droit-gris-delave/206906834-1-grey
ASOS DESIGN Hourglass - Jean mom décontracté à taille haute - Bleu moyen,ASOS DESIGN,images.asos-media.com/products/asos-design-hourglass-jean-mom-decontracte-a-taille-haute-bleu-moyen/204915177-1-midblue
Stradivarius - Jean coupe dad ample - Noir délavé,Stradivarius,images.asos-media.com/products/stradivarius-jean-coupe-dad-ample-noir-delave/205399226-1-black
ASOS DESIGN - Robe longue effet dégradé à bretelles fines et buste froncé avec godets et détail foulard,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longue-effet-degrade-a-bretelles-fines-et-buste-fronce-avec-godets-et-detail-foulard/207656076-1-ombre
