brand,description,generique,image,model,title,url
,Cette cartouche perable butane C206 intgre le systme GAS Lock conforme la norme europenne EN417 2012 Ce systme garde le gaz emprisonn si la cartouche est accidentellement dconnecte Elle dtient 4 encoches de scurit pour un parfait maintien de la cartouche sur lappareil La cartouche perable doit tre compltement vide lorsquon la retire de lappareil Contient 190 g de butane Poids de la cartouche 280 g Utilisation rchauds 1 feu lampes souder ex X2000 X 2000 PZ Informations fournisseurs Nom APPLICATION DES GAZ Adresse 219 Route de Brignais 69230 Saint Genis Laval France Site web wwwcampingazcom Informations fournisseurs Nom APPLICATION DES GAZ Adresse 219 Route de Brignais69230 Saint Genis Laval France Site web wwwcampingazcom,Cartouche,,,Cartouche perable butane C206 GLS Brico Dpt,https://www.bricodepot.fr/catalogue/cartouche-percable-butane-c206-gls/prod36370/
asp,Ce filtre aspirateur vide cendre Karcher AD3200 est lavable de haute qualit et impermable qui protge le moteur et retient jusqu 99 des particules de poussires mme les plus fines Il est quip dun retardeur de flammes pour plus de scurit Ce filtre pliss plat pour AD3200 aspire les salissures les plus fines et propose une puissance daspiration prolonge Le remplacement du filtre se fait facilement et trs rapidement vous ne perdez donc pas de temps dans votre sance de nettoyage Pour aspirateurs AD3200 et AD3 PREMIUM Type dutilisation Aspirateur vide cendre Type de filtre Filtre pliss plat Nombre dlments 1 Poids net 513 g Informations fournisseurs Nom Alfred Krcher SE Co KG Email infokarchercom Adresse Alfred Krcher Strasse 28 122 71364 Winnenden Germany,,,asp,Filtre aspirateur vide cendre AD3200 Brico Dpt,https://www.bricodepot.fr/catalogue/filtre-aspirateur-vide-cendre-ad3200/prod36375/
asp,La rencontre 3 directions TAMARIS galia Ep 73 mm est une tuile mcanique double courbe la fois fonctionnelle et esthtique Ses dimensions sont les suivantes a 441mm b 263mm c 73mm Son poids lunit est de 34kg Le pureau longitudinal est de 372mm 5mm et le transversal de 203mm 4mm Comptez 180 240 units par palette pour un poids allant de 612kg 816kg Il faut en moyenne 125 units par m Son petit format embotement et sa grande diversit daccessoires permettent de raliser des toitures la fois soignes et prcises De plus sa double courbe et sa lgret vous assurent un montage facile et rapide Par ailleurs ce produit garantit une tanchit et une stabilit importante avec son double embotement tant longitudinal que transversal Il bnficie galement dune grande rsistance la flexion lie son pressage et sa composition argileuse Enfin son large choix de coloris et laspect original de la tuile canal peuvent sadapter aussi bien aux toitures neuves quanciennes,,,asp,Rencontre 3 directions TAMARIS galia Ep 73 mm Brico Dpt,https://www.bricodepot.fr/catalogue/rencontre-3-directions-tamaris-galia-ep-73mm/prod42191/
mab,Panneau rayonnant en verre noir 1 500 W thermostat lectronique Modle Elasa H15MGF5U Source de chauffage Aluminium Dimensions hauteur 49 cm largeur 76 cm Longueur du cble 17 m Matriau verre et acier Couverture 15 m Puissance maximum en watts 1500 W Prsentoir affichage LED Rgulation thermostatique oui Rglages de chaleur 1 position de chauffe Protection de surcharge coupure en cas de surcharge Fonction de commande de chauffage contrle lectronique du thermostat Paramtres dalimentation 1 Indicateur de puissance voyant dalimentation Mcanisme pour les programmes programmable sur 7 jours Inclus supports muraux pieds raccords fixations et manuel dinstructions Adapt espaces de vie Consigne de scurit ne pas couvrir le produit Cet appareil de chauffage garantit une lvation rapide de la temprature avec une excellente distribution de chaleur Poids du paquet 12 kg Dimensions de lemballage 81 x 15 x 53 cm,,,f,Panneau rayonnant en verre noir 1 500 W thermostat lectronique Brico Dpt,https://www.bricodepot.fr/catalogue/panneau-rayonnant-en-verre-noir-1-500-w-thermostat-electronique/prod45906/
asp,Porte de douche pliante rversible 2 volets en verre l 80 cm en verre transparent Modle C25 Dimensions hauteur 190 cm largeur 80 cm Largeur de passage 60 cm Verre de scurit tremp paisseur 5 mm Matire aluminium laqu blanc et verre dpoli Fermeture magntique Instructions de montage fixations embouts de profils et de vis assortis fournis Receveur vendu sparment Avec poigne en ABS Sans porte serviette Portes rversibles pour une ouverture droite ou gauche pour sadapter vos besoins Type demballage carton Nombre de colis 1 Dimensions de lemballage 82 x 199 x 6 cm Cuisine salle de bain WC sols luminaires rangements Amnager quiper et dcorer chaque pice de la maison avec des produits de qualit les produits Cooke Lewis Dcouvrez toute la gamme de produits de la marque COOKE LEWIS disponible chez Brico Dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,,,asp,Porte de douche pliante 2 volets Onega l80 cm en verre aspect dpoli Brico Dpt,https://www.bricodepot.fr/catalogue/porte-de-douche-pliante-2-volets-onega-l80-cm-en-verre-aspect-depoli/prod48587/
,Coloris noir vert et dor fourni avec un adaptateur pour robinet Compatible avec la plupart des marques de raccords Pistolet de pulvrisation en laiton plastique et zinc pour une utilisation domestique rgulire 2 fonctions Gchette avant verrouillable pour ouvrir et couper larrive deau Manche mtallique La poigne avec revtement TPE est confortable,Pistolet,,,Pistolet de pulvrisation multijet en laiton Brico Dpt,https://www.bricodepot.fr/catalogue/pistolet-de-pulverisation-multijet-en-laiton/prod48489/
,Coloris noir vert et dor fourni avec 1 buse 2 raccords rapides 1 adaptateur pour robinet Compatible avec la plupart des marques de raccords 125 mm Kit de pistolet de pulvrisation en laiton plastique et zinc pour une utilisation domestique rgulire Manche mtallique 7 fonctions La poigne avec revtement TPE est confortable,pistolet,,,Kit de pistolet de pulvrisation multifonction diam 125 15 mm Brico Dpt,https://www.bricodepot.fr/catalogue/kit-de-pistolet-de-pulverisation-multifonction-diam-125-a-15-mm/prod48484/
,Coloris noir vert et dor Fourni avec1 buse 2 raccords rapides 1 adaptateur pour robinet Compatible avec la plupart des marques de raccords mm19 Kit de pistolet de pulvrisation durable dans le temps pour une utilisation domestique rgulire 7 fonctions Mlange de laiton plastique et zinc Manche mtallique poigne avec revtement TPE confortable,pistolet,,,Kit de pistolet de pulvrisation multifonction diam 15 19 mm Brico Dpt,https://www.bricodepot.fr/catalogue/kit-de-pistolet-de-pulverisation-multifonction-diam-15-a-19-mm/prod48485/
,Carrelage de sol intrieur grs crame maill Arrezo blanc adapt pour les comptoirs murs sols et les pices vivre telles que la salle de bains et la cuisine Caractristiques Grs crame maill Coloris blanc Dimensions l 15 x L 60 cm x p 9 mm Nombre de faces 12 en mlange alatoire Nombre de carreaux dans un paquet 14 Poids du paquet 2482 kg Plinthe assortie 75 x 30 cm 402992 Contrler la rfrence du bain et du calibre avant la pose Prlever des carreaux alternativement dans plusieurs cartons et mlanger les faces entre elles pour obtenir un rsultat harmonieux Seuls les retours de carrelage non pos sont accepts en dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,9 mm,,,Carrelage de sol intrieur Arrezo blanc l 15 x L 60 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-arrezo-blanc-l-15-x-l-60-cm/prod52398/
,Carrelage de sol intrieur grs crame maill Cottage Wood blanc adapt pour les pices dintrieurs telles que la salle de bains et la cuisine Caractristiques Grs crame maill Coloris blanc Dimensions l 20 x L 120 cm x p 10 mm Nombre de faces 9 en mlange alatoire Nombre de carreaux dans un paquet 4 Carton 096 m Poids du paquet 23 kg Plinthe assortie 10 x 60 cm 403032 Contrler la rfrence du bain et du calibre avant la pose Prlever des carreaux alternativement dans plusieurs cartons et mlanger les faces entre elles pour obtenir un rsultat harmonieux Seuls les retours de carrelage non pos sont accepts en dpt Informations fournisseurs Nom Kingfisher International Products BV Adresse Rapenburgerstraat 175E 1011 VM Amsterdam The Netherlands Site web wwwkingfishercomproducts,calibre,,,Carrelage de sol intrieur Cotage Wood blanc l 20 x L 120 cm Brico Dpt,https://www.bricodepot.fr/catalogue/carrelage-de-sol-interieur-cotage-wood-blanc-l-20-x-l-120-cm/prod52399/
